09:36:00 INFO:Start training with [gpu(0)]
09:43:34 INFO:Epoch[9] Batch [1200]	Speed: 52.92 samples/sec	Train-Perplexity=4.329932
09:43:41 INFO:Epoch[9] Batch [1220]	Speed: 54.02 samples/sec	Train-Perplexity=4.290170
09:43:49 INFO:Epoch[9] Batch [1240]	Speed: 53.98 samples/sec	Train-Perplexity=4.572122
09:43:56 INFO:Epoch[9] Batch [1260]	Speed: 56.11 samples/sec	Train-Perplexity=4.566584
09:44:03 INFO:Epoch[9] Batch [1280]	Speed: 54.96 samples/sec	Train-Perplexity=4.561286
09:44:10 INFO:Epoch[9] Batch [1300]	Speed: 54.36 samples/sec	Train-Perplexity=4.454200
09:44:19 INFO:Epoch[9] Batch [1320]	Speed: 49.69 samples/sec	Train-Perplexity=4.808147
09:44:26 INFO:Epoch[9] Batch [1340]	Speed: 54.32 samples/sec	Train-Perplexity=4.460426
09:44:33 INFO:Epoch[9] Batch [1360]	Speed: 57.89 samples/sec	Train-Perplexity=5.046751
09:44:41 INFO:Epoch[9] Batch [1380]	Speed: 51.80 samples/sec	Train-Perplexity=4.539607
09:44:48 INFO:Epoch[9] Batch [1400]	Speed: 52.56 samples/sec	Train-Perplexity=4.278515
09:44:55 INFO:Epoch[9] Batch [1420]	Speed: 56.18 samples/sec	Train-Perplexity=4.319949
09:45:03 INFO:Epoch[9] Batch [1440]	Speed: 49.67 samples/sec	Train-Perplexity=4.506981
09:45:11 INFO:Epoch[9] Batch [1460]	Speed: 54.20 samples/sec	Train-Perplexity=4.308201
09:45:18 INFO:Epoch[9] Batch [1480]	Speed: 55.70 samples/sec	Train-Perplexity=4.276997
09:45:25 INFO:Epoch[9] Batch [1500]	Speed: 58.38 samples/sec	Train-Perplexity=4.445110
09:45:33 INFO:Epoch[9] Batch [1520]	Speed: 51.33 samples/sec	Train-Perplexity=4.551863
09:45:39 INFO:Epoch[9] Batch [1540]	Speed: 57.21 samples/sec	Train-Perplexity=4.266517
09:45:47 INFO:Epoch[9] Batch [1560]	Speed: 51.11 samples/sec	Train-Perplexity=4.089214
09:45:55 INFO:Epoch[9] Batch [1580]	Speed: 52.87 samples/sec	Train-Perplexity=4.801046
09:46:03 INFO:Epoch[9] Batch [1600]	Speed: 51.08 samples/sec	Train-Perplexity=4.661994
09:46:11 INFO:Epoch[9] Batch [1620]	Speed: 51.30 samples/sec	Train-Perplexity=4.080631
09:46:17 INFO:Epoch[9] Batch [1640]	Speed: 58.07 samples/sec	Train-Perplexity=4.647483
09:46:26 INFO:Epoch[9] Batch [1660]	Speed: 48.50 samples/sec	Train-Perplexity=4.619745
09:46:33 INFO:Epoch[9] Batch [1680]	Speed: 57.93 samples/sec	Train-Perplexity=4.457356
09:46:40 INFO:Epoch[9] Batch [1700]	Speed: 50.97 samples/sec	Train-Perplexity=4.328723
09:46:48 INFO:Epoch[9] Batch [1720]	Speed: 54.43 samples/sec	Train-Perplexity=4.619806
09:46:55 INFO:Epoch[9] Batch [1740]	Speed: 53.24 samples/sec	Train-Perplexity=4.559087
09:47:04 INFO:Epoch[9] Batch [1760]	Speed: 46.72 samples/sec	Train-Perplexity=4.408672
09:47:11 INFO:Epoch[9] Batch [1780]	Speed: 53.14 samples/sec	Train-Perplexity=4.099911
09:47:18 INFO:Epoch[9] Batch [1800]	Speed: 59.86 samples/sec	Train-Perplexity=4.132006
09:47:26 INFO:Epoch[9] Batch [1820]	Speed: 51.34 samples/sec	Train-Perplexity=4.620810
09:47:33 INFO:Epoch[9] Batch [1840]	Speed: 54.48 samples/sec	Train-Perplexity=4.354522
09:47:41 INFO:Epoch[9] Batch [1860]	Speed: 51.85 samples/sec	Train-Perplexity=4.388443
09:47:48 INFO:Epoch[9] Batch [1880]	Speed: 54.40 samples/sec	Train-Perplexity=4.283534
